text,label
завершить задачу подготовить презентацию,TASK_UPDATE
кто ты,UNKNOWN
непонятная команда с задачей,AMBIGUOUS
пометь задачу позвонить клиенту как выполненную,TASK_UPDATE
расскажи о себе,UNKNOWN
"напомни мне подготовить презентацию до 2026-04-09T23:14:57Z, приоритет низкий, проект Проект A, описание: сделать отчет по лабораторной",TASK_CREATE
измени срок подготовить презентацию задачи,TASK_UPDATE
создай или обнови задачу,AMBIGUOUS
"поставь в приоритет закончить лабораторную до 2026-04-29T08:14:58Z, приоритет средний, проект Рабочий проект, описание: позвонить клиенту и уточнить детали",TASK_CREATE
найди в интернете {},UNKNOWN
удали подготовить презентацию немедленно,TASK_DELETE
спиши задачу закончить лабораторную,TASK_DELETE
"не забудь добавить купить молоко до 2026-04-22T11:14:58Z, приоритет средний, проект Рабочий проект, описание: слайды для семинара",TASK_CREATE
установи приоритет купить молоко для задачи,TASK_UPDATE
найди задачу {},TASK_QUERY
сделал закончить лабораторную,TASK_UPDATE
передай купить молоко коллеге,TASK_UPDATE
очисти задачу сделать отчет,TASK_DELETE
исключи задачу подготовить презентацию,TASK_DELETE
что запланировано,TASK_QUERY
назначь сделать отчет на задачу,TASK_UPDATE
что-то нужно сделать с {},AMBIGUOUS
ликвидируй задачу позвонить клиенту,TASK_DELETE
назначь купить молоко на задачу,TASK_UPDATE
снять задачу закончить лабораторную,TASK_DELETE
"не знаю, удали или измени {}",AMBIGUOUS
"хочу добавить задачу подготовить презентацию до 2026-04-27T06:14:58Z, приоритет низкий, проект Рабочий проект, описание: слайды для семинара, как дочернюю к задаче подготовить презентацию",TASK_CREATE
кто ты,UNKNOWN
установи приоритет подготовить презентацию для задачи,TASK_UPDATE
включи музыку,UNKNOWN
спиши задачу купить молоко,TASK_DELETE
сотри позвонить клиенту навсегда,TASK_DELETE
сколько будет {} плюс {},UNKNOWN
"не забудь добавить позвонить клиенту до 2026-04-22T11:14:57Z, приоритет высокий, проект ДЗ, описание: сделать отчет по лабораторной, как дочернюю к задаче закончить лабораторную",TASK_CREATE
очисти список задач позвонить клиенту,TASK_DELETE
как пройти до {},UNKNOWN
расскажи анекдот,UNKNOWN
готово подготовить презентацию,TASK_UPDATE
ликвидируй задачу купить молоко,TASK_DELETE
измени детали позвонить клиенту,TASK_UPDATE
пометь задачу подготовить презентацию как выполненную,TASK_UPDATE
включи музыку,UNKNOWN
исключи задачу закончить лабораторную,TASK_DELETE
давай создадим закончить лабораторную,TASK_CREATE
добавь новую задачу купить молоко,TASK_CREATE
убери из бэклога позвонить клиенту,TASK_DELETE
важно {},AMBIGUOUS
объясни понятие {},UNKNOWN
спиши задачу закончить лабораторную,TASK_DELETE
детали по {},TASK_QUERY
удали последнюю задачу закончить лабораторную,TASK_DELETE
что-то с задачей {},AMBIGUOUS
перенеси задачу подготовить презентацию на завтра,TASK_UPDATE
поставь в очередь подготовить презентацию,TASK_CREATE
найди задачу {},TASK_QUERY
что мне нужно сделать,TASK_QUERY
разберись с задачей {},AMBIGUOUS
сыграй в игру,UNKNOWN
покажи текущие дела,TASK_QUERY
удали задачу купить молоко,TASK_DELETE
посмотри прогресс по задачам,TASK_QUERY
исправь задачу купить молоко,TASK_UPDATE
"добавь новую задачу подготовить презентацию до 2026-04-09T03:14:57Z, приоритет низкий, проект Рабочий проект, описание: позвонить клиенту и уточнить детали",TASK_CREATE
сотри закончить лабораторную навсегда,TASK_DELETE
объясни понятие {},UNKNOWN
какие задачи открыты,TASK_QUERY
"напомни мне закончить лабораторную до 2026-04-28T12:14:58Z, приоритет средний, проект Рабочий проект, описание: слайды для семинара",TASK_CREATE
создай или обнови задачу,AMBIGUOUS
помоги с кодом,UNKNOWN
обязательно сделать отчет,TASK_CREATE
"поставь задачу закончить лабораторную до 2026-04-12T16:14:57Z, приоритет высокий, проект Рабочий проект, описание: лаборато́рная работа по ТАТД",TASK_CREATE
создай или обнови задачу,AMBIGUOUS
удали задачи позвонить клиенту,TASK_DELETE
создай или обнови задачу,AMBIGUOUS
спиши задачу закончить лабораторную,TASK_DELETE
включи фильм {},UNKNOWN
"хочу добавить задачу позвонить клиенту до 2026-04-21T15:14:58Z, приоритет средний, проект Рабочий проект, описание: слайды для семинара",TASK_CREATE
поправь задачу позвонить клиенту,TASK_UPDATE
исключи задачу позвонить клиенту,TASK_DELETE
отредактируй задачу сделать отчет,TASK_UPDATE
займись этим {},AMBIGUOUS
кто ты,UNKNOWN
непонятная команда с задачей,AMBIGUOUS
выведи список задач,TASK_QUERY
сделай задачу или нет {},AMBIGUOUS
назначь купить молоко на задачу,TASK_UPDATE
измени срок купить молоко задачи,TASK_UPDATE
необходимо позвонить клиенту,TASK_CREATE
перенаправь задачу позвонить клиенту на другого,TASK_UPDATE
"необходимо подготовить презентацию до 2026-04-16T01:14:58Z, приоритет низкий, проект Рабочий проект, описание: сделать отчет по лабораторной, как дочернюю к задаче закончить лабораторную",TASK_CREATE
очисти завершённые задачи закончить лабораторную,TASK_DELETE
позвони {},UNKNOWN
"может, создать задачу {}",AMBIGUOUS
"необходимо купить молоко до 2026-04-17T22:14:57Z, приоритет низкий, проект Учебный проект, описание: лаборато́рная работа по ТАТД, как дочернюю к задаче подготовить презентацию",TASK_CREATE
удали задачу закончить лабораторную,TASK_DELETE
удали все задачи позвонить клиенту,TASK_DELETE
открой список задач,TASK_QUERY
создай задачу позвонить клиенту,TASK_CREATE
замени подготовить презентацию в задаче,TASK_UPDATE
статистика по задачам,TASK_QUERY
перенеси срок задачи сделать отчет,TASK_UPDATE
перенеси срок задачи закончить лабораторную,TASK_UPDATE
позвони {},UNKNOWN
помоги с кодом,UNKNOWN
"создай срочную задачу подготовить презентацию до 2026-04-23T23:14:57Z, приоритет низкий, проект Учебный проект, описание: слайды для семинара",TASK_CREATE
кто ты,UNKNOWN
что запланировано,TASK_QUERY
открой браузер,UNKNOWN
{},AMBIGUOUS
убрать из списка закончить лабораторную,TASK_DELETE
сделай что-нибудь с задачей,AMBIGUOUS
важно {},AMBIGUOUS
что у меня запланировано,TASK_QUERY
измени детали позвонить клиенту,TASK_UPDATE
напиши письмо {},UNKNOWN
измени срок подготовить презентацию задачи,TASK_UPDATE
добавь в бэклог закончить лабораторную,TASK_CREATE
хз что делать с задачей {},AMBIGUOUS
что у меня запланировано,TASK_QUERY
покажи выполненные задачи,TASK_QUERY
открой браузер,UNKNOWN
детали задачи {},TASK_QUERY
{},AMBIGUOUS
покажи активные задачи,TASK_QUERY
расскажи анекдот,UNKNOWN
займись этим {},AMBIGUOUS
создай срочную задачу купить молоко,TASK_CREATE
незавершённые задачи,TASK_QUERY
назначь сделать отчет ответственным,TASK_UPDATE
измени или удали задачу,AMBIGUOUS
отмени задачу сделать отчет,TASK_DELETE
сделай задачу или нет {},AMBIGUOUS
передай задачу купить молоко другому,TASK_UPDATE
покажи новости за сегодня,UNKNOWN
исключи задачу позвонить клиенту,TASK_DELETE
удали последнюю задачу позвонить клиенту,TASK_DELETE
займись этим {},AMBIGUOUS
было бы хорошо позвонить клиенту,TASK_CREATE
давай создадим купить молоко,TASK_CREATE
убрать из списка позвонить клиенту,TASK_DELETE
незавершённые задачи,TASK_QUERY
нужно что-то по задаче {},AMBIGUOUS
"отправь задачу закончить лабораторную в список дел до 2026-04-03T14:14:58Z, приоритет высокий, проект Рабочий проект, описание: сделать отчет по лабораторной",TASK_CREATE
было бы хорошо сделать отчет,TASK_CREATE
хз что делать с задачей {},AMBIGUOUS
создай для меня задачу подготовить презентацию,TASK_CREATE
поставь задачу купить молоко,TASK_CREATE
удали купить молоко немедленно,TASK_DELETE
включи фильм {},UNKNOWN
завершить задачу подготовить презентацию,TASK_UPDATE
"задача, наверное {}",AMBIGUOUS
сотри сделать отчет навсегда,TASK_DELETE
поменяй описание задачи купить молоко,TASK_UPDATE
измени или удали задачу,AMBIGUOUS
ликвидируй задачу закончить лабораторную,TASK_DELETE
отправь задачу купить молоко в список дел,TASK_CREATE
хочу не забыть купить молоко,TASK_CREATE
расскажи о себе,UNKNOWN
поменяй описание задачи сделать отчет,TASK_UPDATE
покажи выполненные задачи,TASK_QUERY
поставь в очередь позвонить клиенту,TASK_CREATE
"хочу не забыть закончить лабораторную до 2026-04-18T22:14:57Z, приоритет низкий, проект Учебный проект, описание: слайды для семинара, как дочернюю к задаче подготовить презентацию",TASK_CREATE
объясни понятие {},UNKNOWN
создай новую задачу купить молоко,TASK_CREATE
покажи задачу {},TASK_QUERY
поменяй описание задачи позвонить клиенту,TASK_UPDATE
сколько у меня задач,TASK_QUERY
"хочу не забыть закончить лабораторную до 2026-04-06T06:14:58Z, приоритет средний, проект Учебный проект, описание: слайды для семинара, как дочернюю к задаче купить молоко",TASK_CREATE
открой браузер,UNKNOWN
что запланировано,TASK_QUERY
открой список задач,TASK_QUERY
задачи по проекту {},TASK_QUERY
ликвидируй задачу подготовить презентацию,TASK_DELETE
удали закончить лабораторную немедленно,TASK_DELETE
займись этим {},AMBIGUOUS
спиши задачу купить молоко,TASK_DELETE
расскажи анекдот,UNKNOWN
задача {},AMBIGUOUS
"нужно не забыть сделать отчет до 2026-04-21T10:14:57Z, приоритет низкий, проект Проект A, описание: лаборато́рная работа по ТАТД",TASK_CREATE
удали последнюю задачу купить молоко,TASK_DELETE
готово сделать отчет,TASK_UPDATE
задачи по проекту {} на этой неделе,TASK_QUERY
задача позвонить клиенту выполнена,TASK_UPDATE
который час,UNKNOWN
убери из бэклога позвонить клиенту,TASK_DELETE
удали задачи подготовить презентацию,TASK_DELETE
очисти завершённые задачи закончить лабораторную,TASK_DELETE
не забудь добавить сделать отчет,TASK_CREATE
"создай срочную задачу подготовить презентацию до 2026-04-08T11:14:57Z, приоритет высокий, проект Учебный проект, описание: позвонить клиенту и уточнить детали",TASK_CREATE
нужно не забыть закончить лабораторную,TASK_CREATE
задачи по проекту {},TASK_QUERY
убери задачу закончить лабораторную,TASK_DELETE
сделай задачу или нет {},AMBIGUOUS
внеси задачу купить молоко,TASK_CREATE
задача {},AMBIGUOUS
покажи задачу {},TASK_QUERY
задача {},AMBIGUOUS
что-то с задачей {},AMBIGUOUS
обязательно закончить лабораторную,TASK_CREATE
создай новую задачу закончить лабораторную,TASK_CREATE
что нового в мире,UNKNOWN
переведи слово {},UNKNOWN
сделай задачу купить молоко,TASK_UPDATE
надо бы подготовить презентацию,TASK_CREATE
мне нужно сделать отчет,TASK_CREATE
задача {},AMBIGUOUS
убери задачу подготовить презентацию,TASK_DELETE
покажи текущие дела,TASK_QUERY
"запиши в список дел купить молоко до 2026-04-20T22:14:57Z, приоритет средний, проект Рабочий проект, описание: лаборато́рная работа по ТАТД",TASK_CREATE
не забудь добавить позвонить клиенту,TASK_CREATE
убрать из списка сделать отчет,TASK_DELETE
объясни понятие {},UNKNOWN
удали последнюю задачу купить молоко,TASK_DELETE
завершить задачу закончить лабораторную,TASK_UPDATE
сделай задачу или нет {},AMBIGUOUS
"запиши в список дел подготовить презентацию до 2026-04-26T22:14:58Z, приоритет высокий, проект ДЗ, описание: позвонить клиенту и уточнить детали, как дочернюю к задаче сделать отчет",TASK_CREATE
надо бы сделать отчет,TASK_CREATE
измени купить молоко задачи,TASK_UPDATE
очисти задачу позвонить клиенту,TASK_DELETE
покажи текущие дела,TASK_QUERY
задача {},AMBIGUOUS
запиши в список дел подготовить презентацию,TASK_CREATE
какие у меня задачи,TASK_QUERY
открой браузер,UNKNOWN
детали по {},TASK_QUERY
добавь в бэклог купить молоко,TASK_CREATE
задача купить молоко выполнена,TASK_UPDATE
"добавь в бэклог купить молоко до 2026-04-21T23:14:57Z, приоритет высокий, проект ДЗ, описание: позвонить клиенту и уточнить детали, как дочернюю к задаче сделать отчет",TASK_CREATE
очисти задачу закончить лабораторную,TASK_DELETE
не забудь добавить купить молоко,TASK_CREATE
сотри подготовить презентацию навсегда,TASK_DELETE
информация о задаче {},TASK_QUERY
что у меня запланировано,TASK_QUERY
переименуй задачу купить молоко,TASK_UPDATE
займись этим {},AMBIGUOUS
посмотри на задачу {},AMBIGUOUS
срочно {},AMBIGUOUS
"добавь новую задачу позвонить клиенту до 2026-04-07T13:14:57Z, приоритет низкий, проект Учебный проект, описание: позвонить клиенту и уточнить детали",TASK_CREATE
готово сделать отчет,TASK_UPDATE
перенеси срок задачи сделать отчет,TASK_UPDATE
готово закончить лабораторную,TASK_UPDATE
передай задачу позвонить клиенту другому,TASK_UPDATE
можно ли {},AMBIGUOUS
отметь позвонить клиенту как сделанное,TASK_UPDATE
очисти задачу купить молоко,TASK_DELETE
скорректируй закончить лабораторную задачи,TASK_UPDATE
снять задачу сделать отчет,TASK_DELETE
что-то с задачей {},AMBIGUOUS
поправь задачу закончить лабораторную,TASK_UPDATE
удали подготовить презентацию немедленно,TASK_DELETE
расскажи анекдот,UNKNOWN
напомни мне подготовить презентацию,TASK_CREATE
удали позвонить клиенту немедленно,TASK_DELETE
закрой задачу сделать отчет,TASK_UPDATE
что у меня есть,TASK_QUERY
что известно о {},TASK_QUERY
займись этим {},AMBIGUOUS
какая погода сегодня,UNKNOWN
"не знаю, удали или измени {}",AMBIGUOUS
"нужно не забыть подготовить презентацию до 2026-04-11T12:14:58Z, приоритет высокий, проект ДЗ, описание: слайды для семинара, как дочернюю к задаче купить молоко",TASK_CREATE
замени позвонить клиенту в задаче,TASK_UPDATE
позвони {},UNKNOWN
сдвинь задачу сделать отчет на следующую неделю,TASK_UPDATE
открой браузер,UNKNOWN
удали задачу купить молоко,TASK_DELETE
завершить задачу сделать отчет,TASK_UPDATE
обнови информацию по закончить лабораторную,TASK_UPDATE
"хочу не забыть сделать отчет до 2026-04-11T18:14:58Z, приоритет средний, проект Проект A, описание: позвонить клиенту и уточнить детали",TASK_CREATE
детали по {},TASK_QUERY
что мне нужно сделать,TASK_QUERY
давай создадим подготовить презентацию,TASK_CREATE
"добавь в список купить молоко до 2026-04-09T18:14:57Z, приоритет высокий, проект Проект A, описание: слайды для семинара",TASK_CREATE
надо бы закончить лабораторную,TASK_CREATE
покажи текущие дела,TASK_QUERY
открой браузер,UNKNOWN
отправь задачу сделать отчет в список дел,TASK_CREATE
что-то с задачей {},AMBIGUOUS
"добавь в бэклог купить молоко до 2026-04-07T14:14:57Z, приоритет низкий, проект Проект A, описание: слайды для семинара",TASK_CREATE
сколько у меня задач,TASK_QUERY
важно {},AMBIGUOUS
"зарегистрируй задачу позвонить клиенту до 2026-04-28T11:14:58Z, приоритет средний, проект ДЗ, описание: сделать отчет по лабораторной",TASK_CREATE
"обязательно позвонить клиенту до 2026-04-06T05:14:58Z, приоритет средний, проект Учебный проект, описание: сделать отчет по лабораторной",TASK_CREATE
что нового в мире,UNKNOWN
нужно не забыть закончить лабораторную,TASK_CREATE
непонятная команда с задачей,AMBIGUOUS
хз что делать с задачей {},AMBIGUOUS
позвони {},UNKNOWN
сыграй в игру,UNKNOWN
который час,UNKNOWN
убери задачу закончить лабораторную,TASK_DELETE
включи фильм {},UNKNOWN
задача купить молоко выполнена,TASK_UPDATE
обязательно сделать отчет,TASK_CREATE
какие задачи открыты,TASK_QUERY
удали последнюю задачу закончить лабораторную,TASK_DELETE
"сделай для меня подготовить презентацию до 2026-04-05T06:14:57Z, приоритет высокий, проект ДЗ, описание: сделать отчет по лабораторной",TASK_CREATE
задачи с высоким приоритетом,TASK_QUERY
список задач,TASK_QUERY
обязательно купить молоко,TASK_CREATE
задачи с низким приоритетом,TASK_QUERY
что у меня есть,TASK_QUERY
что нового в мире,UNKNOWN
напомни мне купить молоко,TASK_CREATE
перенеси задачу подготовить презентацию на завтра,TASK_UPDATE
покажи новости за сегодня,UNKNOWN
открой браузер,UNKNOWN
"не знаю, удали или измени {}",AMBIGUOUS
сыграй в игру,UNKNOWN
добавь новую задачу позвонить клиенту,TASK_CREATE
ликвидируй задачу закончить лабораторную,TASK_DELETE
"не знаю, удали или измени {}",AMBIGUOUS
очисти завершённые задачи сделать отчет,TASK_DELETE
включи фильм {},UNKNOWN
открой список задач,TASK_QUERY
включи музыку,UNKNOWN
ликвидируй задачу купить молоко,TASK_DELETE
что-то нужно сделать с {},AMBIGUOUS
открой список задач,TASK_QUERY
что-то нужно сделать с {},AMBIGUOUS
ликвидируй задачу закончить лабораторную,TASK_DELETE
измени срок купить молоко задачи,TASK_UPDATE
{},AMBIGUOUS
убери из бэклога сделать отчет,TASK_DELETE
"задача, наверное {}",AMBIGUOUS
отправь задачу подготовить презентацию в список дел,TASK_CREATE
нужно не забыть сделать отчет,TASK_CREATE
очисти список задач подготовить презентацию,TASK_DELETE
покажи текущие дела,TASK_QUERY
"поставь задачу купить молоко до 2026-04-26T02:14:57Z, приоритет высокий, проект Учебный проект, описание: лаборато́рная работа по ТАТД",TASK_CREATE
покажи выполненные задачи,TASK_QUERY
сделай что-нибудь с задачей,AMBIGUOUS
включи музыку,UNKNOWN
включи музыку,UNKNOWN
создай или обнови задачу,AMBIGUOUS
"мне нужно позвонить клиенту до 2026-04-30T07:14:58Z, приоритет средний, проект Проект A, описание: сделать отчет по лабораторной",TASK_CREATE
передай закончить лабораторную коллеге,TASK_UPDATE
убери задачу купить молоко,TASK_DELETE
"отправь задачу закончить лабораторную в список дел до 2026-04-22T15:14:58Z, приоритет средний, проект Проект A, описание: слайды для семинара, как дочернюю к задаче позвонить клиенту",TASK_CREATE
"поставь в очередь подготовить презентацию до 2026-04-27T03:14:57Z, приоритет низкий, проект Проект A, описание: лаборато́рная работа по ТАТД",TASK_CREATE
готово сделать отчет,TASK_UPDATE
"не знаю, удали или измени {}",AMBIGUOUS
отмени задачу купить молоко,TASK_DELETE
расскажи о себе,UNKNOWN
задачи по проекту {},TASK_QUERY
переименуй задачу подготовить презентацию,TASK_UPDATE
ликвидируй задачу подготовить презентацию,TASK_DELETE
хочу не забыть купить молоко,TASK_CREATE
нужно не забыть подготовить презентацию,TASK_CREATE
создай для меня задачу закончить лабораторную,TASK_CREATE
исключи задачу позвонить клиенту,TASK_DELETE
установи срочность закончить лабораторную,TASK_UPDATE
"хочу добавить задачу закончить лабораторную до 2026-04-27T08:14:57Z, приоритет средний, проект Учебный проект, описание: позвонить клиенту и уточнить детали",TASK_CREATE
позвони {},UNKNOWN
объясни понятие {},UNKNOWN
отметь подготовить презентацию завершённой,TASK_UPDATE
обнови информацию по купить молоко,TASK_UPDATE
спиши задачу подготовить презентацию,TASK_DELETE
включи музыку,UNKNOWN
расскажи о себе,UNKNOWN
надо бы купить молоко,TASK_CREATE
удали все задачи подготовить презентацию,TASK_DELETE
удали задачи позвонить клиенту,TASK_DELETE
задачи с низким приоритетом,TASK_QUERY
срочно {},AMBIGUOUS
"создай задачу купить молоко до 2026-04-04T08:14:57Z, приоритет низкий, проект Учебный проект, описание: слайды для семинара",TASK_CREATE
"не забыть закончить лабораторную до 2026-04-06T04:14:57Z, приоритет низкий, проект ДЗ, описание: сделать отчет по лабораторной, как дочернюю к задаче позвонить клиенту",TASK_CREATE
сколько у меня задач,TASK_QUERY
поправь задачу позвонить клиенту,TASK_UPDATE
удали подготовить презентацию немедленно,TASK_DELETE
нужно не забыть купить молоко,TASK_CREATE
"поставь себе напоминание закончить лабораторную до 2026-04-06T15:14:57Z, приоритет низкий, проект ДЗ, описание: позвонить клиенту и уточнить детали",TASK_CREATE
покажи все задачи,TASK_QUERY
что в списке дел,TASK_QUERY
удали задачу купить молоко,TASK_DELETE
напиши письмо {},UNKNOWN
очисти список задач купить молоко,TASK_DELETE
что нового в мире,UNKNOWN
назначь позвонить клиенту ответственным,TASK_UPDATE
покажи новости за сегодня,UNKNOWN
позвони {},UNKNOWN
сколько у меня задач,TASK_QUERY
назначь купить молоко на задачу,TASK_UPDATE
хз что делать с задачей {},AMBIGUOUS
очисти задачу купить молоко,TASK_DELETE
посмотри на задачу {},AMBIGUOUS
добавь задачу сделать отчет,TASK_CREATE
нужно что-то по задаче {},AMBIGUOUS
скорректируй купить молоко задачи,TASK_UPDATE
"добавь новую задачу закончить лабораторную до 2026-04-01T06:14:57Z, приоритет высокий, проект Учебный проект, описание: лаборато́рная работа по ТАТД, как дочернюю к задаче закончить лабораторную",TASK_CREATE
какая погода сегодня,UNKNOWN
сколько у меня задач,TASK_QUERY
добавь задачу позвонить клиенту,TASK_CREATE
напиши письмо {},UNKNOWN
убери задачу подготовить презентацию,TASK_DELETE
завершить задачу подготовить презентацию,TASK_UPDATE
установи срочность купить молоко,TASK_UPDATE
кто ты,UNKNOWN
создай или обнови задачу,AMBIGUOUS
покажи новости за сегодня,UNKNOWN
завершить задачу подготовить презентацию,TASK_UPDATE
поменяй описание задачи закончить лабораторную,TASK_UPDATE
что мне нужно сделать,TASK_QUERY
сделай задачу или нет {},AMBIGUOUS
исправь задачу купить молоко,TASK_UPDATE
измени закончить лабораторную задачи,TASK_UPDATE
какие у меня задачи,TASK_QUERY
отметь позвонить клиенту как сделанное,TASK_UPDATE
сколько у меня задач,TASK_QUERY
переведи слово {},UNKNOWN
займись этим {},AMBIGUOUS
надо бы сделать отчет,TASK_CREATE
что известно о {},TASK_QUERY
добавь в бэклог купить молоко,TASK_CREATE
измени срок сделать отчет задачи,TASK_UPDATE
"нужно не забыть купить молоко до 2026-04-14T06:14:57Z, приоритет низкий, проект Проект A, описание: сделать отчет по лабораторной",TASK_CREATE
"добавь задачу сделать отчет до 2026-04-24T14:14:57Z, приоритет высокий, проект Учебный проект, описание: лаборато́рная работа по ТАТД",TASK_CREATE
помоги с кодом,UNKNOWN
переименуй задачу сделать отчет,TASK_UPDATE
что-то с задачей {},AMBIGUOUS
"может, создать задачу {}",AMBIGUOUS
хочу добавить задачу закончить лабораторную,TASK_CREATE
покажи выполненные задачи,TASK_QUERY
нужно что-то по задаче {},AMBIGUOUS
какие задачи открыты,TASK_QUERY
закрой задачу сделать отчет,TASK_UPDATE
незавершённые задачи,TASK_QUERY
покажи новости за сегодня,UNKNOWN
поставь дедлайн сделать отчет для задачи,TASK_UPDATE
сколько будет {} плюс {},UNKNOWN
задачи по проекту {},TASK_QUERY
срочно {},AMBIGUOUS
удали последнюю задачу подготовить презентацию,TASK_DELETE
поставь задачу закончить лабораторную,TASK_CREATE
кто ты,UNKNOWN
объясни понятие {},UNKNOWN
очисти задачу закончить лабораторную,TASK_DELETE
разберись с задачей {},AMBIGUOUS
что известно о {},TASK_QUERY
ликвидируй задачу купить молоко,TASK_DELETE
включи фильм {},UNKNOWN
удали позвонить клиенту немедленно,TASK_DELETE
непонятная команда с задачей,AMBIGUOUS
покажи мои задачи,TASK_QUERY
завершить задачу закончить лабораторную,TASK_UPDATE
разберись с задачей {},AMBIGUOUS
что нового в мире,UNKNOWN
открой браузер,UNKNOWN
срочно {},AMBIGUOUS
пометь задачу подготовить презентацию как выполненную,TASK_UPDATE
установи таймер на {},UNKNOWN
спиши задачу купить молоко,TASK_DELETE
включи фильм {},UNKNOWN
выведи список задач,TASK_QUERY
удали позвонить клиенту немедленно,TASK_DELETE
закрой задачу сделать отчет,TASK_UPDATE
что-то нужно сделать с {},AMBIGUOUS
назначь задачу закончить лабораторную на,TASK_UPDATE
включи музыку,UNKNOWN
перепиши задачу сделать отчет,TASK_UPDATE
измени или удали задачу,AMBIGUOUS
удали все задачи купить молоко,TASK_DELETE
разберись с задачей {},AMBIGUOUS
очисти список задач позвонить клиенту,TASK_DELETE
сколько задач открыто,TASK_QUERY
найди в интернете {},UNKNOWN
непонятная команда с задачей,AMBIGUOUS
убери из бэклога закончить лабораторную,TASK_DELETE
что нового в мире,UNKNOWN
не забыть позвонить клиенту,TASK_CREATE
статистика по задачам,TASK_QUERY
покажи задачу {},TASK_QUERY
покажи новости за сегодня,UNKNOWN
спиши задачу сделать отчет,TASK_DELETE
убрать из списка закончить лабораторную,TASK_DELETE
какие задачи открыты,TASK_QUERY
удали задачу позвонить клиенту,TASK_DELETE
"хочу добавить задачу позвонить клиенту до 2026-04-06T14:14:57Z, приоритет низкий, проект ДЗ, описание: сделать отчет по лабораторной",TASK_CREATE
